category,user_input,chatbot_response,user_input_tokens,chatbot_response_tokens
Strength Training,what are some effective exercises for building upper body strength,effective upper body exercises include pushups pullups bench presses overhead presses dumbbell rows and bicep curls,"[10919, 389, 617, 4050, 13565, 329, 2615, 6727, 1767, 4202, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256]","[16803, 6727, 1767, 13565, 2291, 4574, 4739, 2834, 4739, 7624, 31048, 16965, 31048, 13526, 7923, 15274, 290, 275, 501, 79, 49507, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256]"
Strength Training,how many times a week should i train my legs,training your legs 23 times a week is generally effective allowing for adequate recovery between sessions,"[4919, 867, 1661, 257, 1285, 815, 1312, 4512, 616, 7405, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256]","[34409, 534, 7405, 2242, 1661, 257, 1285, 318, 4143, 4050, 5086, 329, 12872, 7628, 1022, 10991, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256]"
Strength Training,whats the proper form for a deadlift,stand with feet hipwidth apart grip the barbell with hands just outside your legs keep your back straight engage your core and lift by extending your hips and knees simultaneously,"[1929, 1381, 262, 1774, 1296, 329, 257, 2636, 26282, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256]","[1481, 351, 3625, 10359, 10394, 5475, 11762, 262, 2318, 7923, 351, 2832, 655, 2354, 534, 7405, 1394, 534, 736, 3892, 8209, 534, 4755, 290, 10303, 416, 16610, 534, 21497, 290, 14475, 11640, 50256, 50256, 50256, 50256, 50256, 50256]"
Strength Training,should i lift heavy weights with fewer reps or lighter weights with more reps,lifting heavy weights with fewer reps builds strength while lighter weights with more reps improve muscle endurance your choice should align with your fitness goals,"[21754, 1312, 10303, 4334, 19590, 351, 7380, 20982, 393, 14871, 19590, 351, 517, 20982, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256]","[30510, 4334, 19590, 351, 7380, 20982, 12188, 4202, 981, 14871, 19590, 351, 517, 20982, 2987, 8280, 22965, 534, 3572, 815, 10548, 351, 534, 13547, 4661, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256]"
Cardio,what are the benefits of highintensity interval training hiit,hiit can burn a significant number of calories in a short time improve cardiovascular fitness and boost metabolism for hours after the workout,"[10919, 389, 262, 4034, 286, 1029, 47799, 16654, 3047, 23105, 270, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256]","[5303, 270, 460, 4245, 257, 2383, 1271, 286, 14653, 287, 257, 1790, 640, 2987, 21134, 13547, 290, 5750, 20211, 329, 2250, 706, 262, 17578, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256]"
Cardio,how can i make running more enjoyable,to make running more enjoyable vary your routes listen to music or podcasts run with a friend set achievable goals and mix up your training with intervals or hill runs,"[4919, 460, 1312, 787, 2491, 517, 20050, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256]","[1462, 787, 2491, 517, 20050, 7565, 534, 11926, 6004, 284, 2647, 393, 31969, 1057, 351, 257, 1545, 900, 47729, 4661, 290, 5022, 510, 534, 3047, 351, 20016, 393, 12788, 4539, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256]"
Cardio,is cycling good for weight loss,yes cycling is an effective lowimpact cardio exercise that can help burn calories improve heart health and aid in weight loss when combined with a balanced diet,"[271, 16259, 922, 329, 3463, 2994, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256]","[8505, 16259, 318, 281, 4050, 1877, 48240, 47926, 5517, 326, 460, 1037, 4245, 14653, 2987, 2612, 1535, 290, 6133, 287, 3463, 2994, 618, 5929, 351, 257, 12974, 5496, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256]"
Cardio,how often should i do cardio exercises,for general health aim for at least 150 minutes of moderateintensity or 75 minutes of vigorousintensity cardio per week spread across several days,"[4919, 1690, 815, 1312, 466, 47926, 13565, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256]","[1640, 2276, 1535, 4031, 329, 379, 1551, 6640, 2431, 286, 10768, 47799, 393, 5441, 2431, 286, 31543, 47799, 47926, 583, 1285, 4104, 1973, 1811, 1528, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256]"
Flexibility,what are some stretches to improve flexibility,stretches like hamstring stretches quad stretches shoulder stretches chest openers and hip flexor stretches can improve flexibility,"[10919, 389, 617, 23687, 284, 2987, 13688, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256]","[301, 1186, 2052, 588, 36744, 23687, 15094, 23687, 8163, 23687, 7721, 1280, 364, 290, 10359, 7059, 273, 23687, 460, 2987, 13688, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256]"
Flexibility,when is the best time to stretch during a workout,its best to perform dynamic stretches during your warmup and static stretches during your cooldown after the workout,"[12518, 318, 262, 1266, 640, 284, 7539, 1141, 257, 17578, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256]","[896, 1266, 284, 1620, 8925, 23687, 1141, 534, 5814, 929, 290, 9037, 23687, 1141, 534, 20869, 706, 262, 17578, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256, 50256]"
